stop_id,stop_name,stop_lat,stop_lon,location_type,platform_code
51501,Dossenheim Bahnhof,49.4481911,8.6701711,0,1
51502,Dossenheim Bahnhof,49.4485531,8.6695331,0,2
51601,Dossenheim Süd,49.4455631,8.6752911,0,1
51602,Dossenheim Süd,49.4460531,8.674995,0,2
69502,Jakobsgasse,49.4010431,8.6328369,0,B
69521,Jakobsgasse,49.4010019,8.63307,0,V1
69601,Kirchheimer Straße,49.3997919,8.6273569,0,n/a
69701,Eppelheim Rathaus,49.40161,8.6291,0,A
69702,Eppelheim Rathaus,49.4016281,8.6288661,0,B
113221,Biethsstraße,49.4298719,8.6825231,0,n/a
