route_id,service_id,direction_id,trip_id
1,4,0,34838
1,5,0,38761
1,5,0,54088
1,6,0,52409
10,12,0,62927
10,12,0,6815
10,13,0,34551
10,13,0,35178
10,19,0,5745
10,28,0,39820
10,28,0,42862
10,28,0,57564
10,3,0,33867
10,3,0,37079
10,4,0,10030
10,4,0,1030
10,4,0,10960
10,4,0,11384
10,4,0,11503
10,4,0,11963
10,4,0,12267
10,4,0,13048
10,4,0,13153
10,4,0,13313
10,4,0,13986
10,4,0,14113
10,4,0,15045
10,4,0,15548
10,4,0,1580
10,4,0,15827
10,4,0,16870
10,4,0,16882
10,4,0,18176
10,4,0,18237
10,4,0,18570
10,4,0,18587
10,4,0,19087
10,4,0,19892
10,4,0,2018
10,4,0,20396
10,4,0,20672
10,4,0,20767
10,4,0,2153
10,4,0,21741
10,4,0,21813
10,4,0,21931
10,4,0,22127
10,4,0,22298
10,4,0,22354
10,4,0,22794
10,4,0,23597
10,4,0,2402
10,4,0,24871
10,4,0,24899
10,4,0,25984
10,4,0,27135
10,4,0,27645
10,4,0,27809
10,4,0,27963
10,4,0,29167
10,4,0,29935
10,4,0,30074
10,4,0,30089
10,4,0,30482
10,4,0,30828
10,4,0,32228
10,4,0,32980
10,4,0,3317
10,4,0,33243
10,4,0,33383
10,4,0,34256
10,4,0,34626
10,4,0,34882
10,4,0,35058
10,4,0,35566
10,4,0,35629
10,4,0,35808
10,4,0,35907
10,4,0,36014
10,4,0,36131
10,4,0,36655
10,4,0,37162
10,4,0,37594
10,4,0,38278
10,4,0,38643
10,4,0,41266
10,4,0,42564
10,4,0,42565
10,4,0,42575
10,4,0,42661
10,4,0,4414
10,4,0,44154
10,4,0,45113
10,4,0,45570
10,4,0,46607
10,4,0,46835
10,4,0,47341
10,4,0,47549
10,4,0,47924
10,4,0,47942
10,4,0,48012
10,4,0,48258
10,4,0,48273
10,4,0,48353
10,4,0,48733
10,4,0,4887
10,4,0,49303
10,4,0,49337
10,4,0,49513
10,4,0,50293
10,4,0,50296
10,4,0,50318
10,4,0,51229
10,4,0,51989
10,4,0,52229
10,4,0,52745
10,4,0,52799
10,4,0,53121
10,4,0,53301
10,4,0,53614
10,4,0,54034
10,4,0,54834
10,4,0,55182
10,4,0,55774
10,4,0,57344
10,4,0,57609
10,4,0,57650
10,4,0,59169
10,4,0,59386
10,4,0,59451
10,4,0,59841
10,4,0,62342
10,4,0,63330
10,4,0,63666
10,4,0,6377
10,4,0,63801
10,4,0,64018
10,4,0,64031
10,4,0,64463
10,4,0,64482
10,4,0,65650
10,4,0,66925
10,4,0,67167
10,4,0,67441
10,4,0,67623
10,4,0,6797
10,4,0,7584
10,4,0,7980
10,4,0,8736
10,4,0,9533
10,4,0,9746
10,4,0,9828
10,5,0,16941
10,5,0,28207
10,5,0,30475
10,5,0,33570
10,5,0,33800
10,5,0,35325
10,5,0,39268
10,5,0,42480
10,5,0,46921
10,5,0,49319
10,5,0,63818
10,5,0,65450
10,6,0,10723
10,6,0,12297
10,6,0,15266
10,6,0,15781
10,6,0,15808
10,6,0,20248
10,6,0,22087
10,6,0,24334
10,6,0,30469
10,6,0,34365
10,6,0,3474
10,6,0,36187
10,6,0,37576
10,6,0,37588
10,6,0,43050
10,6,0,43570
10,6,0,48552
10,6,0,5187
10,6,0,52623
10,6,0,5650
10,6,0,6006
10,6,0,61998
10,6,0,7942
10,6,0,8270
10,8,0,35990
100,104,0,7945
100,12,0,18882
100,12,0,32095
100,128,0,19683
100,13,0,11707
100,20,0,19887
100,20,0,21302
100,20,0,58785
100,28,0,13092
100,28,0,21973
100,28,0,36610
100,28,0,42357
100,28,0,56403
100,28,0,59903
100,3,0,36703
100,33,0,62552
100,4,0,12846
100,4,0,13712
100,4,0,13976
100,4,0,20035
100,4,0,21373
100,4,0,21789
100,4,0,22126
100,4,0,28054
100,4,0,35319
100,4,0,3892
100,4,0,40117
100,4,0,40432
100,4,0,40822
100,4,0,42252
100,4,0,43119
100,4,0,43678
100,4,0,4486
100,4,0,46830
100,4,0,47683
100,4,0,48778
100,4,0,60029
100,4,0,65759
100,4,0,65943
100,4,0,66623
100,4,0,66708
100,4,0,67447
100,5,0,17981
100,5,0,1981
100,5,0,20218
100,5,0,25994
100,5,0,31257
100,5,0,36551
100,5,0,40376
100,5,0,40505
100,5,0,42261
100,5,0,44876
100,5,0,46221
100,5,0,55816
100,5,0,56840
100,5,0,60089
100,5,0,60373
100,6,0,19458
100,6,0,22854
100,6,0,42092
100,6,0,44375
100,6,0,8428
100,80,0,25027
100,81,0,14297
101,11,0,15381
101,11,0,19701
101,11,0,20093
101,11,0,20814
101,11,0,27843
101,11,0,29981
101,11,0,34906
101,11,0,57142
101,11,0,59792
101,118,0,14218
101,118,0,59733
101,12,0,10768
101,12,0,17290
101,12,0,19772
101,12,0,22294
101,12,0,23330
101,12,0,33795
101,12,0,36511
101,12,0,40460
101,12,0,41970
101,12,0,6467
101,13,0,14123
101,13,0,4155
101,13,0,4587
101,163,0,14015
101,163,0,23792
101,163,0,28199
101,163,0,35664
101,163,0,37299
101,163,0,41713
101,163,0,48043
101,163,0,48858
101,163,0,54064
101,163,0,64407
101,163,0,66397
101,163,0,8290
101,163,0,8922
101,19,0,10355
101,19,0,10599
101,19,0,1119
101,19,0,12084
101,19,0,12198
101,19,0,13652
101,19,0,13808
101,19,0,15108
101,19,0,15351
