stop_id,stop_name,stop_lat,stop_lon
13202,München-Moosach,48.18026,11.506237
3543,München-Moosach,48.18026,11.506237
8204,München-Neuaubing,48.141705,11.422197
9734,München-Neuaubing,48.141705,11.422197
7773,München-Neuperlach Süd,48.088684,11.645175
10164,München-Obermenzing,48.164223,11.478117
11726,München-Obermenzing,48.164223,11.478117
10943,München-Pasing,48.149853,11.461872
11184,München-Pasing,48.149853,11.461872
1181,München-Pasing,48.149853,11.461872
12887,München-Pasing,48.149853,11.461872
2318,München-Pasing,48.149853,11.461872
3903,München-Pasing,48.149853,11.461872
441,München-Pasing,48.149853,11.461872
4852,München-Pasing,48.149853,11.461872
7471,München-Pasing,48.149853,11.461872
8369,München-Pasing,48.149853,11.461872
11513,München-Perlach,48.093426,11.631208
1667,München-Riem,48.143982,11.678049
9617,München-Riem,48.143982,11.678049
3780,München-Solln,48.07992,11.526954
4244,München-Solln,48.07992,11.526954
7495,München-Solln,48.07992,11.526954
12555,München-Trudering,48.126064,11.663375
12717,München-Trudering,48.126064,11.663375
13448,München-Trudering,48.126064,11.663375
11902,München-Untermenzing,48.177673,11.472792
13570,München-Untermenzing,48.177673,11.472792
11979,München-Westkreuz,48.149025,11.44394
1862,München-Westkreuz,48.149025,11.44394
3818,Münchhausen,50.964195,8.718671
5089,Münchhausen,50.964195,8.718671
10805,Münchingen,48.855606,9.095197
3397,Münchingen,48.8556,9.09521
122,Münchingen Rührberg,48.849796,9.095785
4245,Münchsmünster,48.758343,11.687409
9008,Münchsmünster,48.758343,11.687409
8790,Münchweiler(Alsenz),49.550606,7.887939
8922,Münchweiler(Alsenz),49.550606,7.887939
10716,Münchweiler(Rodalb),49.221355,7.700417
4224,Münchweiler(Rodalb),49.221355,7.700417
11424,Münnerstadt,50.250076,10.188634
3214,Münnerstadt,50.250076,10.188634
10942,Münsingen,48.409637,9.490432
13335,Münster(Hessen),49.92368,8.853885
13450,Münster(W)Zentrum Nord,51.98432,7.63847
2298,Münster(W)Zentrum Nord,51.98432,7.63847
3679,Münster(W)Zentrum Nord,51.98432,7.63847
11933,Münster(Westf)Hbf,51.956566,7.635715
229,Münster(Westf)Hbf,51.956566,7.635715
3207,Münster(Westf)Hbf,51.956566,7.635715
3250,Münster(Westf)Hbf,51.956566,7.635715
423,Münster(Westf)Hbf,51.956566,7.635715
5870,Münster(Westf)Hbf,51.956566,7.635715
6537,Münster(Westf)Hbf,51.956566,7.635715
6540,Münster(Westf)Hbf,51.956566,7.635715
7725,Münster(Westf)Hbf,51.956566,7.635715
7806,Münster(Westf)Hbf,51.956566,7.635715
9720,Münster(Westf)Hbf,51.956566,7.635715
13189,Münster-Albachten,51.914577,7.528197
5967,Münster-Albachten,51.914577,7.528197
938,Münster-Amelsbüren,51.883663,7.598897
3294,Münster-Hiltrup,51.904755,7.654281
8408,Münster-Hiltrup,51.904755,7.654281
8952,Münster-Hiltrup,51.904755,7.654281
5262,Münster-Häger,52.02206,7.562341
10644,Münster-Mecklenbeck,51.924007,7.579568
12881,Münster-Mecklenbeck,51.924007,7.579568
11824,Münster-Roxel,51.94641,7.526126
12107,Münster-Sarmsheim,49.947388,7.898033
12338,Münster-Sarmsheim,49.947388,7.898033
13034,Münster-Sprakel,52.04151,7.619982
13670,Münster-Sprakel,52.04151,7.619982
13100,Münstertal(Schwarzwald),47.855076,7.781217
5576,Müssen,53.499462,10.561128
7275,Müssen,53.499462,10.561128
12176,Nabburg,49.447166,12.180701
7682,Nabburg,49.447166,12.180701
7874,Nabburg,49.447166,12.180701
9614,Nachterstedt-Hoym,51.80291,11.333025
13542,Nackenheim,49.919106,8.341885
6607,Nackenheim,49.919106,8.341885
7087,Nagold,48.555645,8.727774
7858,Nagold,48.555645,8.727774
10936,Nagold Stadtmitte,48.551273,8.728502
7170,Nagold-Iselshausen,48.53154,8.72589
2973,Nagold-Steinberg,48.542015,8.732643
7348,Naila,50.329636,11.7122
3504,Namborn,49.523922,7.146277
6852,Namborn,49.523922,7.146277
1424,Namedy,50.457146,7.361768
8998,Namedy,50.457146,7.361768
13313,Narsdorf,51.00914,12.713023
7768,Nassau(Erzgeb),50.7696,13.485766
7582,Nassau(Lahn),50.31148,7.800691
993,Nassau(Lahn),50.31148,7.800691
13136,Nassenbeuren,48.078068,10.503797
3602,Nassenheide,52.816917,13.239198
8810,Nassenheide,52.816917,13.239198
12956,Natrup-Hagen,52.20985,7.910752
171,Natrup-Hagen,52.20985,7.910752
10924,Nauen,52.612698,12.885559
13738,Nauen,52.612698,12.885559
4891,Nauen,52.612698,12.885559
11650,Nauendorf(Saalkr),51.608833,11.884262
11446,Nauheim(b Gr.Gerau),49.94214,8.449929
5966,Nauheim(b Gr.Gerau),49.94214,8.449929
12039,Naumburg(Saale)Hbf,51.16307,11.796984
1525,Naumburg(Saale)Hbf,51.16307,11.796984
4647,Naumburg(Saale)Hbf,51.16307,11.796984
5429,Naumburg(Saale)Hbf,51.16307,11.796984
9489,Naumburg(Saale)Hbf,51.16307,11.796984
6121,Naumburg(Saale)Ost,51.155525,11.823895
5725,Naumburg-Roßbach,51.17065,11.77953
2160,Naunhof,51.277084,12.594242
8460,Naunhof,51.277084,12.594242
7733,Neanderthal,51.22782,6.95325
6907,Nechlin,53.440926,13.90288
7464,Nechlin,53.440926,13.90288
13430,Neckarbischofsheim Nord,49.3071,8.942274
13069,Neckarburken,49.378384,9.163721
3599,Neckarburken,49.378384,9.163721
1526,Neckargemünd,49.393677,8.788425
2723,Neckargemünd,49.393677,8.788425
518,Neckargemünd,49.393677,8.788425
766,Neckargemünd,49.393677,8.788425
2250,Neckargemünd Altstadt,49.39239,8.802954
5962,Neckargemünd Altstadt,49.39239,8.802954
11841,Neckargerach,49.397907,9.074704
7961,Neckargerach,49.397907,9.074704
1554,Neckarhausen bei Neckarsteinach,49.416954,8.879703
1698,Neckarhausen bei Neckarsteinach,49.416954,8.879703
11973,Neckarsteinach,49.404907,8.841429
2268,Neckarsteinach,49.404907,8.841429
10613,Neckarsulm,49.188972,9.220068
3632,Neckarsulm,49.188972,9.220068
7860,Neckarsulm,49.188972,9.220068
9257,Neckarsulm Nord,49.202095,9.228679
9765,Neckarsulm Nord,49.202095,9.228679
404,Neckarzimmern,49.316563,9.137577
9669,Neckarzimmern,49.316563,9.137577
3975,Neef,50.091053,7.139418
967,Neef,50.091053,7.139418
10039,Neetzendorf,53.163784,10.760576
12337,Neetzka,53.53352,13.500838
12097,Neheim-Hüsten,51.438004,7.970066
7434,Neheim-Hüsten,51.438004,7.970066
7307,Nehren,48.423954,9.06688
4099,Neidenfels,49.3862,8.045236
4425,Neidenfels,49.3862,8.045236
9454,Neidenstein,49.320236,8.890152
11976,Neinstedt,51.75237,11.084893
1958,Nellmersbach,48.90337,9.415401
4857,Nellmersbach,48.90337,9.415401
4296,Nemmenich,50.68805,6.681466
9945,Nemsdorf-Göhrendorf,51.357773,11.660646
2641,Nendingen(b Tuttlingen),48.00958,8.854048
2970,Nennhausen,52.59991,12.50279
6576,Nennhausen,52.59991,12.50279
8732,Nennhausen,52.59991,12.50279
12436,Nennig,49.53874,6.375851
4457,Nennig,49.53874,6.375851
13347,Nennigmühle,50.69109,13.253168
4083,Nenzingen,47.841347,8.964728
12215,Nersingen,48.43014,10.118003
9555,Nersingen,48.43014,10.118003
11563,Nesselwang,47.623943,10.504419
9496,Nesselwang,47.623943,10.504419
739,Netzeband,52.995556,12.628103
4031,Netzkater Netzkater Gleis 1,51.603012,10.790613
